id,title_original,english_title,hungarian_title,video_url,source_equipment_types,inferred_equipment_types,canonical_equipment_types,primary_pattern,secondary_pattern,body_region,impact_level,complexity_level,intensity_estimate,position_type,unilateral_flag,beginner_friendly,session_role_fit,contraindications,home_safe,requires_large_space,requires_partner,requires_gym_setup,advanced_risk,qa_flags,validation_errors,taxonomy_status
84,TRX side plank with hip drop - TRX oldalsó alkartámaszban tartás csípőemeléssel,TRX side plank with hip drop,TRX oldalsó alkartámaszban tartás csípőemeléssel,https://vimeo.com/649968521,trx,trx,trx,core,,core,low,basic,low,floor,no,yes,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
85,TRX side plank - TRX oldalsó alkartámaszban tartás,TRX side plank,TRX oldalsó alkartámaszban tartás,https://vimeo.com/649968495,trx,trx,trx,core,,core,low,basic,low,floor,no,yes,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
86,TRX side lunge - TRX oldalsó kitörés,TRX side lunge,TRX oldalsó kitörés,https://vimeo.com/649968452,trx,trx,trx,lunge,,lower_body,low,basic,medium,standing,yes,yes,accessory|main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
87,TRX row with raise - TRX evezés karemeléssel,TRX row with raise,TRX evezés karemeléssel,https://vimeo.com/649968405,trx,trx,trx,pull,,upper_body,low,basic,medium,standing,no,yes,main,,yes,no,no,no,no,equipment_inferred:trx,,validated
88,TRX reverse lunge - TRX kitörés hátra,TRX reverse lunge,TRX kitörés hátra,https://vimeo.com/649968368,trx,trx,trx,lunge,,lower_body,low,basic,medium,standing,yes,yes,accessory|main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
89,TRX resisted sit-up - TRX felülés ellenállással,TRX resisted sit-up,TRX felülés ellenállással,https://vimeo.com/649968317,trx,trx,trx,core,,core,low,basic,low,mixed,no,yes,accessory|activation,,yes,no,no,no,no,equipment_inferred:trx,,validated
90,TRX push up - TRX melltől tolás,TRX push up,TRX melltől tolás,https://vimeo.com/649968275,trx,trx,trx,push,,upper_body,low,basic,medium,standing,no,conditional,main,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
91,TRX pull up hold (assisted) - TRX húzódzkodásban tartás  felső fogással lábérintéssel a talajon,TRX pull up hold (assisted),TRX húzódzkodásban tartás  felső fogással lábérintéssel a talajon,https://vimeo.com/649968244,trx,trx,trx,pull,,upper_body,low,basic,medium,standing,no,conditional,main,,yes,no,no,no,no,equipment_inferred:trx,,validated
92,TRX pull up - TRX húzódzkodás felső fogással,TRX pull up,TRX húzódzkodás felső fogással,https://vimeo.com/649968218,trx,trx,trx,pull,,upper_body,low,basic,medium,standing,no,conditional,main,,yes,no,no,no,no,equipment_inferred:trx,,validated
93,TRX plank - TRX alkartámaszban tartás,TRX plank,TRX alkartámaszban tartás,https://vimeo.com/649968194,trx,trx,trx,core,,core,low,basic,low,floor,no,yes,accessory|activation,wrist_shoulder_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
94,TRX pistol squat - TRX pisztoly guggolás,TRX pistol squat,TRX pisztoly guggolás,https://vimeo.com/649968166,trx,trx,trx,squat,,lower_body,low,complex,medium,standing,yes,no,accessory|main,knee_caution,yes,no,no,no,yes,equipment_inferred:trx,,validated
95,TRX pike on hands - TRX egyenes láb behúzás fekvőtámaszban (bicska),TRX pike on hands,TRX egyenes láb behúzás fekvőtámaszban (bicska),https://vimeo.com/649968134,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
96,TRX pike on elbows - TRX egyenes láb behúzás alkartámaszban (bicska),TRX pike on elbows,TRX egyenes láb behúzás alkartámaszban (bicska),https://vimeo.com/649968095,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
97,TRX overhead triceps extension - TRX kar nyújtás fej fölött (tricepsz),TRX overhead triceps extension,TRX kar nyújtás fej fölött (tricepsz),https://vimeo.com/649968050,trx,trx,trx,push,,upper_body,low,basic,low,standing,no,yes,accessory|main,,yes,no,no,no,no,equipment_inferred:trx,,validated
98,TRX overhead squat - TRX guggulás magastartásban,TRX overhead squat,TRX guggulás magastartásban,https://vimeo.com/649968007,trx,trx,trx,squat,,lower_body,low,complex,medium,standing,no,no,main,knee_caution,yes,no,no,no,yes,equipment_inferred:trx,,validated
99,TRX oblique crunch on hands - TRX térdbehúzás oldalra fekvőtámaszban,TRX oblique crunch on hands,TRX térdbehúzás oldalra fekvőtámaszban,https://vimeo.com/649967977,trx,trx,trx,core,cardio_locomotion,core,low,basic,low,mixed,no,yes,accessory|activation,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
100,TRX oblique crunch on elbows - TRX térdbehúzás oldalra alkartámaszban,TRX oblique crunch on elbows,TRX térdbehúzás oldalra alkartámaszban,https://vimeo.com/649967940,trx,trx,trx,core,cardio_locomotion,core,low,basic,low,mixed,no,yes,accessory|activation,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
101,TRX mountain climber on hands - TRX hegymászó fekvőtámaszban,TRX mountain climber on hands,TRX hegymászó fekvőtámaszban,https://vimeo.com/649967911,trx,trx,trx,cardio_locomotion,core,full_body,medium,basic,medium,standing,no,conditional,finisher|main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
102,TRX mountain climber on elbows - TRX hegymászó alkartámaszban,TRX mountain climber on elbows,TRX hegymászó alkartámaszban,https://vimeo.com/649967885,trx,trx,trx,cardio_locomotion,core,full_body,medium,basic,medium,standing,no,conditional,finisher|main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
103,TRX low row - TRX evezés szűken,TRX low row,TRX evezés szűken,https://vimeo.com/649967855,trx,trx,trx,pull,,upper_body,low,basic,medium,standing,no,yes,main,,yes,no,no,no,no,equipment_inferred:trx,,validated
104,TRX lateral squat - TRX oldalsó guggolás,TRX lateral squat,TRX oldalsó guggolás,https://vimeo.com/649967830,trx,trx,trx,squat,,lower_body,low,basic,medium,standing,no,yes,main,knee_caution,yes,no,no,no,no,equipment_inferred:trx,,validated
105,TRX lat pull down - TRX széles lehúzás felső fogással,TRX lat pull down,TRX széles lehúzás felső fogással,https://vimeo.com/649967779,trx,trx,trx,mixed_other,,full_body,low,basic,low,standing,no,yes,accessory,,yes,no,no,no,no,equipment_inferred:trx,,validated
